Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes,Flow Packets,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets,Bwd Packets,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Family
10.8.8.178-78.46.223.24-11055-53-17,10.8.8.178,11055,78.46.223.24,53,17,03/06/2015 04:56:19 PM,227634,1,1,39,218,39,39,39,0,218,218,218,0,1129.0053331225,8.7860337208,227634,0,227634,227634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4.3930168604,4.3930168604,39,218,98.6666666667,103.3456981849,10680.3333333333,0,0,0,0,0,0,0,0,1,148,39,218,0,0,0,0,0,0,0,19,0,109,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-46423-53-17,10.8.8.178,46423,198.7.63.141,53,17,03/06/2015 04:55:07 PM,130255,1,1,47,246,47,47,47,0,246,246,246,0,2249.433802925,15.3544969483,130255,0,130255,130255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.6772484741,7.6772484741,47,246,113.3333333333,114.8927035687,13200.3333333333,0,0,0,0,0,0,0,0,1,170,47,246,0,0,0,0,0,0,0,23,0,123,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-32448-53-17,10.8.8.178,32448,198.7.63.141,53,17,03/06/2015 05:05:20 PM,129862,1,1,33,185,33,33,33,0,185,185,185,0,1678.7050869385,15.4009641004,129862,0,129862,129862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.7004820502,7.7004820502,33,185,83.6666666667,87.7572409168,7701.3333333333,0,0,0,0,0,0,0,0,1,125.5,33,185,0,0,0,0,0,0,0,16,0,92,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-37511-53-17,10.8.8.178,37511,198.7.63.141,53,17,03/06/2015 04:59:19 PM,128921,1,1,39,230,39,39,39,0,230,230,230,0,2086.5491269848,15.5133764088,128921,0,128921,128921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.7566882044,7.7566882044,39,230,102.6666666667,110.2739014152,12160.3333333333,0,0,0,0,0,0,0,0,1,154,39,230,0,0,0,0,0,0,0,19,0,115,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-8786-53-17,10.8.8.178,8786,198.7.63.141,53,17,03/06/2015 05:06:37 PM,130273,1,1,37,213,37,37,37,0,213,213,213,0,1919.0469245354,15.3523753963,130273,0,130273,130273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.6761876981,7.6761876981,37,213,95.6666666667,101.6136473774,10325.3333333333,0,0,0,0,0,0,0,0,1,143.5,37,213,0,0,0,0,0,0,0,18,0,106,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-216.58.210.46-39786-443-6,10.8.8.178,39786,216.58.210.46,443,6,03/06/2015 04:55:19 PM,17,1,1,0,0,0,0,0,0,0,0,0,0,0,117647.058823529,17,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,58823.5294117647,58823.5294117647,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,317,350,0,32,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-28485-53-17,10.8.8.178,28485,198.7.63.141,53,17,03/06/2015 04:55:13 PM,130787,1,1,33,212,33,33,33,0,212,212,212,0,1873.2748667681,15.2920397287,130787,0,130787,130787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.6460198644,7.6460198644,33,212,92.6666666667,103.3456981849,10680.3333333333,0,0,0,0,0,0,0,0,1,139,33,212,0,0,0,0,0,0,0,16,0,106,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-62300-53-17,10.8.8.178,62300,198.7.63.141,53,17,03/06/2015 05:06:38 PM,130750,1,1,45,209,45,45,45,0,209,209,209,0,1942.638623327,15.2963671128,130750,0,130750,130750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.6481835564,7.6481835564,45,209,99.6666666667,94.6854441471,8965.3333333333,0,0,0,0,0,0,0,0,1,149.5,45,209,0,0,0,0,0,0,0,22,0,104,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-61594-53-17,10.8.8.178,61594,198.7.63.141,53,17,03/06/2015 04:54:19 PM,132513,1,1,37,225,37,37,37,0,225,225,225,0,1977.1645046147,15.0928588139,132513,0,132513,132513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.5464294069,7.5464294069,37,225,99.6666666667,108.5418506077,11781.3333333333,0,0,0,0,0,0,0,0,1,149.5,37,225,0,0,0,0,0,0,0,18,0,112,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
10.8.8.178-198.7.63.141-17454-53-17,10.8.8.178,17454,198.7.63.141,53,17,03/06/2015 04:58:45 PM,128357,1,1,37,213,37,37,37,0,213,213,213,0,1947.6927631528,15.5815421052,128357,0,128357,128357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.7907710526,7.7907710526,37,213,95.6666666667,101.6136473774,10325.3333333333,0,0,0,0,0,0,0,0,1,143.5,37,213,0,0,0,0,0,0,0,18,0,106,0,0,0,8,0,0,0,0,0,0,0,0,VPN,Chat
